 Óbitos infantis - Minas Gerais
Óbitos p/Residênc por Município e Ano do Óbito
Período:1996-2024
"Município";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
" MUNICIPIO IGNORADO - MG";14;31;4;68;11;2;4;-;4;4;-;2;2;1;6;1;1;1;-;1;1;-;-;-;2;-;1;-;-;161
"310010 ABADIA DOS DOURADOS";1;1;2;1;2;-;2;-;1;-;2;1;1;-;-;1;1;-;2;-;1;-;-;2;1;-;2;-;1;25
"310020 ABAETE";10;10;11;8;1;13;5;7;6;12;8;4;5;4;6;2;5;5;-;2;2;3;2;2;6;2;3;1;3;148
"310030 ABRE CAMPO";13;6;8;4;6;8;8;5;2;5;6;4;7;4;4;7;1;2;5;4;-;-;1;2;-;2;3;2;5;124
"310040 ACAIACA";2;2;3;1;1;-;2;1;-;1;-;4;1;2;1;-;2;-;-;-;-;-;3;1;-;-;-;1;1;29
"310050 ACUCENA";11;5;3;3;5;1;4;5;6;3;2;2;2;2;2;1;2;2;1;3;-;-;1;-;1;1;-;2;1;71
"310060 AGUA BOA";2;5;3;4;7;6;3;4;8;11;7;-;4;2;-;4;5;2;1;-;1;3;-;2;5;1;1;2;-;93
"310070 AGUA COMPRIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;3
"310080 AGUANIL";3;3;-;-;-;2;1;1;-;-;1;-;-;1;-;2;1;-;-;1;-;3;1;1;-;1;-;-;-;22
"310090 AGUAS FORMOSAS";9;10;7;7;5;12;5;8;5;10;10;8;5;5;5;2;1;6;4;6;7;5;3;4;2;7;3;-;2;163
"310100 AGUAS VERMELHAS";1;2;1;6;3;6;5;5;10;9;9;5;3;1;-;2;3;3;3;3;3;-;1;3;2;4;-;3;4;100
"310110 AIMORES";10;9;12;3;10;8;8;10;7;7;4;4;3;2;5;5;4;5;3;6;5;-;3;2;1;8;5;3;3;155
"310120 AIURUOCA";2;3;2;1;2;2;2;1;3;3;1;3;1;1;1;-;-;-;-;1;-;-;-;1;2;-;1;-;-;33
"310130 ALAGOA";1;-;-;-;1;1;1;1;-;1;-;-;2;-;-;-;-;-;-;1;2;-;1;-;-;-;-;1;-;13
"310140 ALBERTINA";-;1;3;-;1;-;1;-;-;-;1;-;-;-;-;-;1;1;1;2;-;-;1;-;-;-;-;-;-;13
"310150 ALEM PARAIBA";20;18;13;11;18;11;12;17;10;7;7;5;10;4;12;8;16;7;3;5;12;8;6;5;6;7;6;6;3;273
"310160 ALFENAS";31;46;34;31;40;32;26;24;8;12;13;18;8;11;13;3;16;11;10;8;15;14;5;12;8;13;12;6;7;487
"310163 ALFREDO VASCONCELOS";4;1;1;1;3;1;2;1;2;3;7;2;1;-;1;1;-;3;1;-;1;2;3;-;1;2;1;-;2;47
"310170 ALMENARA";24;21;24;20;36;26;20;19;16;13;13;11;15;11;12;7;5;8;8;9;10;7;7;8;5;8;6;7;4;380
"310180 ALPERCATA";3;2;1;-;-;5;1;-;1;5;3;2;1;-;-;-;2;-;3;2;1;-;2;-;1;1;1;1;2;40
"310190 ALPINOPOLIS";10;6;7;5;14;6;4;4;2;6;1;-;6;2;5;-;5;2;5;1;7;1;-;2;3;2;7;5;4;122
"310200 ALTEROSA";9;6;10;5;5;5;6;4;6;2;-;3;1;2;-;1;3;4;2;2;-;1;3;1;-;1;3;3;-;88
"310205 ALTO CAPARAO";-;-;1;5;1;1;3;3;-;-;1;1;4;2;2;1;1;1;-;2;1;-;-;-;1;-;-;1;-;32
"310210 ALTO RIO DOCE";13;7;3;5;3;7;5;4;1;1;1;2;2;1;-;1;-;2;3;1;2;5;-;-;2;1;1;-;-;73
"310220 ALVARENGA";2;1;-;-;2;-;-;1;2;-;2;-;-;-;-;1;1;-;-;1;2;-;-;-;2;-;-;-;-;17
"310230 ALVINOPOLIS";10;15;13;4;9;5;4;3;3;6;2;2;5;2;8;1;1;1;2;1;1;5;-;1;2;-;1;-;2;109
"310240 ALVORADA DE MINAS";-;3;1;1;1;4;1;3;2;2;1;-;1;-;1;1;1;3;-;-;-;3;-;3;2;1;1;-;1;37
"310250 AMPARO DO SERRA";-;-;-;3;-;1;8;1;3;2;1;2;3;1;1;1;3;1;2;-;1;-;1;-;1;1;1;1;1;40
"310260 ANDRADAS";12;5;8;10;10;7;7;4;3;1;3;4;1;5;1;2;4;7;6;3;2;6;8;7;3;5;3;2;6;145
"310270 CACHOEIRA DE PAJEU";4;-;-;-;1;-;2;2;7;6;1;4;2;6;3;4;4;5;2;1;1;2;2;3;-;-;-;1;3;66
"310280 ANDRELANDIA";1;6;4;2;-;-;3;2;5;2;3;4;1;3;-;2;2;3;1;1;1;1;1;1;2;-;1;2;2;56
"310285 ANGELANDIA";-;10;6;2;2;1;-;1;7;8;1;3;3;4;4;7;6;4;1;2;1;2;1;-;1;2;1;3;-;83
"310290 ANTONIO CARLOS";8;4;3;4;3;5;8;1;1;4;3;3;-;4;2;2;3;1;-;-;-;3;1;-;1;2;-;1;3;70
"310300 ANTONIO DIAS";8;9;3;7;2;5;3;2;6;4;5;3;3;3;2;1;1;2;2;1;1;2;-;2;3;2;1;1;-;84
"310310 ANTONIO PRADO DE MINAS";-;1;1;-;-;2;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;8
"310320 ARACAI";-;1;1;-;-;-;1;-;1;-;1;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;1;-;10
"310330 ARACITABA";-;-;-;1;-;1;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;7
"310340 ARACUAI";7;7;7;8;5;3;7;11;14;9;6;5;16;12;6;12;7;3;4;9;8;7;6;5;5;5;2;1;3;200
"310350 ARAGUARI";24;23;35;30;43;24;24;23;22;19;18;24;12;20;15;18;19;16;11;20;16;21;12;15;17;10;15;13;13;572
"310360 ARANTINA";-;-;-;1;-;-;-;1;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;1;3;-;10
"310370 ARAPONGA";5;-;4;3;4;3;6;4;3;1;-;4;2;4;-;-;1;-;-;-;1;-;-;1;1;1;1;1;-;50
"310375 ARAPORA";1;1;-;-;1;-;1;2;2;1;-;-;-;1;1;4;1;-;3;1;1;1;1;2;2;-;4;2;-;33
"310380 ARAPUA";-;-;-;-;-;-;1;-;2;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;6
"310390 ARAUJOS";3;-;-;2;2;1;7;-;2;1;1;2;2;-;1;3;4;1;1;1;1;1;-;1;1;1;1;2;-;42
"310400 ARAXA";38;41;34;26;23;15;28;25;13;21;14;18;20;20;10;20;13;18;17;15;17;14;25;18;14;21;12;8;16;574
"310410 ARCEBURGO";4;1;-;4;-;2;1;1;-;1;1;3;4;-;-;1;2;2;-;1;-;1;2;-;-;3;2;2;-;38
"310420 ARCOS";9;5;10;10;8;7;4;7;5;7;1;3;7;5;6;4;4;5;3;3;4;8;8;4;4;4;5;6;7;163
"310430 AREADO";7;6;5;8;2;2;5;6;1;2;2;1;4;3;1;2;3;4;2;-;1;2;3;2;1;2;3;2;-;82
"310440 ARGIRITA";1;1;1;-;1;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;10
"310445 ARICANDUVA";-;1;1;1;-;1;1;7;-;-;-;2;-;1;-;-;-;1;-;-;1;-;-;-;4;3;-;-;2;26
"310450 ARINOS";1;6;2;7;7;4;7;4;4;4;6;1;2;6;3;4;3;2;1;1;2;6;2;3;-;1;2;3;3;97
"310460 ASTOLFO DUTRA";-;2;3;4;3;2;6;2;4;2;2;2;1;3;3;1;2;3;-;3;1;4;1;1;2;4;2;1;3;67
"310470 ATALEIA";5;6;-;-;3;3;9;5;2;5;4;5;2;5;2;1;4;4;2;2;3;3;2;2;2;1;1;4;-;87
"310480 AUGUSTO DE LIMA";1;2;1;3;-;-;2;1;1;5;1;2;1;2;1;-;1;1;-;-;-;-;-;-;-;1;-;-;2;28
"310490 BAEPENDI";7;6;4;9;8;10;2;2;3;6;2;7;2;4;1;3;2;4;6;1;-;3;4;2;3;2;2;-;-;105
"310500 BALDIM";1;6;7;1;4;-;3;4;1;1;-;2;2;1;-;-;1;1;5;1;1;2;-;1;1;-;-;-;1;47
"310510 BAMBUI";1;9;6;6;4;4;2;7;5;7;8;5;4;-;4;3;3;2;3;2;3;2;3;2;3;1;3;2;2;106
"310520 BANDEIRA";-;-;1;-;-;1;-;-;-;1;1;-;-;2;1;2;-;1;2;1;2;1;-;1;-;-;1;-;-;18
"310530 BANDEIRA DO SUL";3;1;2;3;2;-;1;1;-;-;-;1;2;2;-;2;2;1;2;-;1;1;1;1;1;2;1;1;-;34
"310540 BARAO DE COCAIS";14;14;16;9;12;16;8;10;4;3;8;4;6;4;5;5;5;2;3;4;3;7;2;9;4;2;3;5;4;191
"310550 BARAO DE MONTE ALTO";1;-;1;2;1;-;1;3;-;3;1;1;2;5;2;-;3;2;1;-;1;3;-;-;1;-;-;-;1;35
"310560 BARBACENA";59;59;22;59;60;36;50;36;41;32;38;36;32;33;19;35;23;23;16;17;9;14;16;13;12;12;14;13;13;842
"310570 BARRA LONGA";3;2;1;2;-;-;2;-;2;-;2;2;1;1;-;-;1;1;-;-;-;1;-;-;-;1;1;-;-;23
"310590 BARROSO";16;17;13;13;10;9;7;8;9;7;6;6;1;1;4;4;2;1;3;3;1;4;2;5;3;3;2;1;3;164
"310600 BELA VISTA DE MINAS";8;7;8;2;8;6;2;3;6;3;4;2;1;4;1;1;3;3;5;1;2;1;1;2;2;-;2;2;1;91
"310610 BELMIRO BRAGA";1;1;-;-;-;-;-;-;1;-;1;1;1;-;1;1;2;-;1;1;2;-;-;-;2;-;-;-;-;16
"310620 BELO HORIZONTE";1162;1026;844;765;657;519;443;529;443;467;400;357;365;341;354;329;343;302;316;323;276;301;294;300;244;241;227;242;231;12641
"310630 BELO ORIENTE";13;8;8;6;9;4;9;7;4;7;7;3;5;9;4;1;3;2;2;3;1;4;4;5;7;5;4;4;3;151
"310640 BELO VALE";1;1;-;1;1;3;2;-;1;-;3;2;-;1;2;1;1;2;-;-;-;1;2;1;-;1;-;1;1;29
"310650 BERILO";10;3;4;2;4;1;2;4;5;6;3;1;2;5;2;3;2;-;1;-;1;1;1;2;-;1;2;2;-;70
"310660 BERTOPOLIS";1;2;1;-;1;-;1;2;4;-;5;6;9;4;7;4;3;2;7;8;3;1;4;6;3;5;5;3;5;102
"310665 BERIZAL";-;2;1;-;-;1;2;2;1;-;-;1;2;-;-;1;1;2;1;1;1;1;-;3;1;1;-;1;1;27
"310670 BETIM";161;148;162;161;112;100;119;97;77;87;74;51;79;79;53;63;62;86;69;77;56;50;69;74;60;59;69;67;63;2484
"310680 BIAS FORTES";3;4;1;4;5;3;2;3;-;3;-;-;3;1;2;-;1;-;-;-;1;1;-;-;1;-;1;-;-;39
"310690 BICAS";6;10;13;1;2;3;5;4;2;3;3;1;1;2;2;3;2;5;2;2;-;2;-;6;-;1;1;1;2;85
"310700 BIQUINHAS";-;-;-;-;2;1;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;6
"310710 BOA ESPERANCA";21;24;19;15;15;15;15;14;13;16;14;8;6;10;8;5;4;6;9;12;10;8;7;6;5;6;7;7;5;310
"310720 BOCAINA DE MINAS";4;-;-;1;1;-;-;-;-;1;-;-;-;-;3;-;-;-;-;1;-;-;-;-;1;2;-;1;-;15
"310730 BOCAIUVA";19;23;25;20;12;22;16;10;19;9;13;16;7;8;9;17;14;6;8;9;6;11;9;5;3;9;11;7;7;350
